"manufacturer","model","series","loadCapacity","liftingSpeed","motorPower","classification","url","scrapedFrom","confidence","id","lastUpdated","createdDate","updateCount","images","videos","scrapedAt","createdAt","quietOperation","_enrichedFields","dutyCycle","weight","dimensions","voltageOptions","certifications","protectionClass","noiseLevel","brakeType","chainSpecification","operatingTemperature","applications","safetyFeatures","_pdfEnriched","_pdfEnrichedAt","liftingOverPeople","dynamicLifting","rawSpecifications","downloadedImages","pdfs","downloadedPDFs","features","llmEnriched","llmEnrichedAt","llmProvider","description","warranty","airConsumption","operatingPressure"
"SWF Krantechnik","Chainster 2000","Chainster","2000 kg","5 m/min","1.5 kW","d8+, ce",,"known-data",0.9,"swf-chainster-2000","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"60%","52 kg",,"[""400V 3Ph""]",,"IP55","66 dB(A)",,,,,,,,,,,,,,,,,,,,,
"SWF Krantechnik","Chainster 3200","Chainster","3200 kg","3.2 m/min","1.5 kW","d8+, ce",,"known-data",0.9,"swf-chainster-3200","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"60%","68 kg",,"[""400V 3Ph""]",,"IP55","67 dB(A)",,,,,,,,,,,,,,,,,,,,,
"SWF Krantechnik","Chainster 5000","Chainster","5000 kg","2 m/min","2.2 kW","d8+, ce",,"known-data",0.9,"swf-chainster-5000","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"60%","85 kg",,"[""400V 3Ph""]",,"IP55","68 dB(A)",,,,,,,,,,,,,,,,,,,,,
"SWF Krantechnik","Nova 125","Nova","125 kg","20 m/min","0.18 kW","d8, ce",,"known-data",0.9,"swf-nova-125","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"40%","12 kg",,"[""400V 3Ph"",""230V 1Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"SWF Krantechnik","Nova 250","Nova","250 kg","10 m/min","0.18 kW","d8, ce",,"known-data",0.9,"swf-nova-250","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"40%","14 kg",,"[""400V 3Ph"",""230V 1Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"SWF Krantechnik","Nova 500","Nova","500 kg","8 m/min","0.55 kW","d8, ce",,"known-data",0.9,"swf-nova-500","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"40%","25 kg",,"[""400V 3Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"SWF Krantechnik","Nova 1000","Nova","1000 kg","4 m/min","0.55 kW","d8, ce",,"known-data",0.9,"swf-nova-1000","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"40%","32 kg",,"[""400V 3Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"SWF Krantechnik","Nova 2000","Nova","2000 kg","4 m/min","1.1 kW","d8, ce",,"known-data",0.9,"swf-nova-2000","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"40%","48 kg",,"[""400V 3Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"SWF Krantechnik","Nova 5000","Nova","5000 kg","1.6 m/min","1.5 kW","d8, ce",,"known-data",0.9,"swf-nova-5000","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"40%","82 kg",,"[""400V 3Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"SWF Krantechnik","SK 250","SK","250 kg","12 m/min","0.37 kW","d8, ce",,"known-data",0.9,"swf-sk-250","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"35%","16 kg",,"[""400V 3Ph"",""230V 1Ph""]",,"IP54","62 dB(A)",,,,,,,,,,,,,,,,,,,,,
"SWF Krantechnik","SK 500","SK","500 kg","6 m/min","0.37 kW","d8, ce",,"known-data",0.9,"swf-sk-500","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"35%","20 kg",,"[""400V 3Ph"",""230V 1Ph""]",,"IP54","64 dB(A)",,,,,,,,,,,,,,,,,,,,,
"SWF Krantechnik","SK 1000","SK","1000 kg","6 m/min","0.75 kW","d8, ce",,"known-data",0.9,"swf-sk-1000","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"35%","32 kg",,"[""400V 3Ph""]",,"IP54","66 dB(A)",,,,,,,,,,,,,,,,,,,,,
"SWF Krantechnik","SK 2500","SK","2500 kg","2.4 m/min","0.75 kW","d8, ce",,"known-data",0.9,"swf-sk-2500","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"35%","52 kg",,"[""400V 3Ph""]",,"IP54","68 dB(A)",,,,,,,,,,,,,,,,,,,,,
"J.D. Neuhaus","Profi 1 TI","Profi","1000 kg","8 m/min","Pneumatic","atex, ce, dnv",,"known-data",0.9,"jdn-profi-1-ti","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"25 kg",,,,"IP54",,,,,,,,,,,,,,,,,,,,,"42 m³/h","4-7 bar"
"J.D. Neuhaus","Profi 2 TI","Profi","2000 kg","4 m/min","Pneumatic","atex, ce, dnv",,"known-data",0.9,"jdn-profi-2-ti","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"32 kg",,,,"IP54",,,,,,,,,,,,,,,,,,,,,"48 m³/h","4-7 bar"
"J.D. Neuhaus","Profi 3 TI","Profi","3000 kg","2.7 m/min","Pneumatic","atex, ce, dnv",,"known-data",0.9,"jdn-profi-3-ti","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"42 kg",,,,"IP54",,,,,,,,,,,,,,,,,,,,,"55 m³/h","4-7 bar"
"J.D. Neuhaus","Profi 5 TI","Profi","5000 kg","2.4 m/min","Pneumatic","atex, ce, dnv",,"known-data",0.9,"jdn-profi-5-ti","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"58 kg",,,,"IP54",,,,,,,,,,,,,,,,,,,,,"70 m³/h","4-7 bar"
"J.D. Neuhaus","Profi 10 TI","Profi","10000 kg","1.6 m/min","Pneumatic","atex, ce, dnv",,"known-data",0.9,"jdn-profi-10-ti","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"95 kg",,,,"IP54",,,,,,,,,,,,,,,,,,,,,"110 m³/h","4-7 bar"
"J.D. Neuhaus","Profi 20 TI","Profi","20000 kg","0.8 m/min","Pneumatic","atex, ce, dnv",,"known-data",0.9,"jdn-profi-20-ti","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"180 kg",,,,"IP54",,,,,,,,,,,,,,,,,,,,,"180 m³/h","4-7 bar"
"J.D. Neuhaus","Profi 50 TI","Profi","50000 kg","0.5 m/min","Pneumatic","atex, ce, dnv",,"known-data",0.9,"jdn-profi-50-ti","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"420 kg",,,,"IP54",,,,,,,,,,,,,,,,,,,,,"320 m³/h","4-7 bar"
"J.D. Neuhaus","Mini 125","Mini","125 kg","12 m/min","Pneumatic","atex, ce",,"known-data",0.9,"jdn-mini-125","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"5 kg",,,,"IP54",,,,,,,,,,,,,,,,,,,,,"15 m³/h","4-7 bar"
"J.D. Neuhaus","Mini 250","Mini","250 kg","6 m/min","Pneumatic","atex, ce",,"known-data",0.9,"jdn-mini-250","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"6 kg",,,,"IP54",,,,,,,,,,,,,,,,,,,,,"18 m³/h","4-7 bar"
"J.D. Neuhaus","Mini 500","Mini","500 kg","6 m/min","Pneumatic","atex, ce",,"known-data",0.9,"jdn-mini-500","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"9 kg",,,,"IP54",,,,,,,,,,,,,,,,,,,,,"24 m³/h","4-7 bar"
"J.D. Neuhaus","Mini 980","Mini","980 kg","3 m/min","Pneumatic","atex, ce",,"known-data",0.9,"jdn-mini-980","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"12 kg",,,,"IP54",,,,,,,,,,,,,,,,,,,,,"30 m³/h","4-7 bar"
"J.D. Neuhaus","BBH 1000","BBH","1000 kg","6 m/min","0.75-1.5 kW (estimated)","atex, ce",,"known-data",0.9,"jdn-bbh-1000","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"22 kg",,,,"IP54",,,,,,,,,,,,,,,,,,,,,"38 m³/h","4-7 bar"
"J.D. Neuhaus","BBH 2000","BBH","2000 kg","3 m/min","1.5-3.0 kW (estimated)","atex, ce",,"known-data",0.9,"jdn-bbh-2000","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"28 kg",,,,"IP54",,,,,,,,,,,,,,,,,,,,,"45 m³/h","4-7 bar"
"J.D. Neuhaus","BBH 3000","BBH","3000 kg","2 m/min","3.0-7.5 kW (estimated)","atex, ce",,"known-data",0.9,"jdn-bbh-3000","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"38 kg",,,,"IP54",,,,,,,,,,,,,,,,,,,,,"52 m³/h","4-7 bar"
"J.D. Neuhaus","LMF 250","LMF","250 kg","8 m/min","0.25-0.37 kW (estimated)","atex, ce, food-grade",,"known-data",0.9,"jdn-lmf-250","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"8 kg",,,,"IP55",,,,,,,,,,,,,,,,,,,,,"20 m³/h","4-7 bar"
"J.D. Neuhaus","LMF 500","LMF","500 kg","4 m/min","0.37-0.75 kW (estimated)","atex, ce, food-grade",,"known-data",0.9,"jdn-lmf-500","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"10 kg",,,,"IP55",,,,,,,,,,,,,,,,,,,,,"26 m³/h","4-7 bar"
"J.D. Neuhaus","LMF 1000","LMF","1000 kg","2 m/min","0.75-1.5 kW (estimated)","atex, ce, food-grade",,"known-data",0.9,"jdn-lmf-1000","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,,"15 kg",,,,"IP55",,,,,,,,,,,,,,,,,,,,,"32 m³/h","4-7 bar"
"Elephant Lifting Products","FA 250","FA","250 kg","12 m/min","0.25 kW","d8, jis",,"known-data",0.9,"elephant-fa-250","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"25%","15 kg",,"[""200V 3Ph"",""400V 3Ph""]",,"IP54","62 dB(A)",,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FA 500","FA","500 kg","6 m/min","0.37 kW","d8, jis",,"known-data",0.9,"elephant-fa-500","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"25%","18 kg",,"[""200V 3Ph"",""400V 3Ph""]",,"IP54","64 dB(A)",,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FA 1000","FA","1000 kg","6 m/min","0.75 kW","d8, jis",,"known-data",0.9,"elephant-fa-1000","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"25%","28 kg",,"[""200V 3Ph"",""400V 3Ph""]",,"IP54","66 dB(A)",,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FA 2000","FA","2000 kg","3 m/min","0.75 kW","d8, jis",,"known-data",0.9,"elephant-fa-2000","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"25%","42 kg",,"[""200V 3Ph"",""400V 3Ph""]",,"IP54","68 dB(A)",,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FA 3000","FA","3000 kg","2 m/min","1.1 kW","d8, jis",,"known-data",0.9,"elephant-fa-3000","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"25%","58 kg",,"[""200V 3Ph"",""400V 3Ph""]",,"IP54","69 dB(A)",,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FA 5000","FA","5000 kg","1.2 m/min","1.5 kW","d8, jis",,"known-data",0.9,"elephant-fa-5000","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"25%","82 kg",,"[""400V 3Ph""]",,"IP54","70 dB(A)",,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FB 500","FB","500 kg","8 m/min","0.55 kW","d8, jis",,"known-data",0.9,"elephant-fb-500","2026-01-17T18:12:31.352Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.352Z",,,"40%","25 kg",,"[""200V 3Ph"",""400V 3Ph""]",,"IP54","64 dB(A)",,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FB 1000","FB","1000 kg","4 m/min","0.55 kW","d8, jis",,"known-data",0.9,"elephant-fb-1000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.352Z","2026-01-17T18:12:31.353Z",,,"40%","35 kg",,"[""200V 3Ph"",""400V 3Ph""]",,"IP54","66 dB(A)",,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FB 2000","FB","2000 kg","4 m/min","1.1 kW","d8, jis",,"known-data",0.9,"elephant-fb-2000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","52 kg",,"[""200V 3Ph"",""400V 3Ph""]",,"IP54","68 dB(A)",,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FB 3000","FB","3000 kg","2.7 m/min","1.1 kW","d8, jis",,"known-data",0.9,"elephant-fb-3000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","68 kg",,"[""400V 3Ph""]",,"IP54","69 dB(A)",,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FB 5000","FB","5000 kg","2 m/min","1.5 kW","d8, jis",,"known-data",0.9,"elephant-fb-5000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","95 kg",,"[""400V 3Ph""]",,"IP54","70 dB(A)",,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FB 10000","FB","10000 kg","1 m/min","2.2 kW","d8, jis",,"known-data",0.9,"elephant-fb-10000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","165 kg",,"[""400V 3Ph""]",,"IP54","72 dB(A)",,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FC 500","FC","500 kg","2/8 m/min","0.55/0.18 kW","d8+, jis",,"known-data",0.9,"elephant-fc-500","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","28 kg",,"[""200V 3Ph"",""400V 3Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FC 1000","FC","1000 kg","1/4 m/min","0.55/0.18 kW","d8+, jis",,"known-data",0.9,"elephant-fc-1000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","38 kg",,"[""200V 3Ph"",""400V 3Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FC 2000","FC","2000 kg","1/4 m/min","1.1/0.37 kW","d8+, jis",,"known-data",0.9,"elephant-fc-2000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","55 kg",,"[""400V 3Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"LiftingSafety","LS Electric 250","LS Electric","250 kg","12 m/min","0.37 kW","d8, ce",,"known-data",0.9,"liftingsafety-ls-electric-250","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","16 kg",,"[""400V 3Ph"",""230V 1Ph""]",,"IP54","62 dB(A)",,,,,,,,,,,,,,,,,,,,,
"LiftingSafety","LS Electric 500","LS Electric","500 kg","6 m/min","0.55 kW","d8, ce",,"known-data",0.9,"liftingsafety-ls-electric-500","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","22 kg",,"[""400V 3Ph"",""230V 1Ph""]",,"IP54","64 dB(A)",,,,,,,,,,,,,,,,,,,,,
"LiftingSafety","LS Electric 1000","LS Electric","1000 kg","6 m/min","0.75 kW","d8, ce",,"known-data",0.9,"liftingsafety-ls-electric-1000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","32 kg",,"[""400V 3Ph""]",,"IP54","66 dB(A)",,,,,,,,,,,,,,,,,,,,,
"LiftingSafety","LS Electric 2000","LS Electric","2000 kg","3 m/min","1.1 kW","d8, ce",,"known-data",0.9,"liftingsafety-ls-electric-2000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","48 kg",,"[""400V 3Ph""]",,"IP54","68 dB(A)",,,,,,,,,,,,,,,,,,,,,
"LiftingSafety","LS Electric 3000","LS Electric","3000 kg","2 m/min","1.5 kW","d8, ce",,"known-data",0.9,"liftingsafety-ls-electric-3000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","62 kg",,"[""400V 3Ph""]",,"IP54","69 dB(A)",,,,,,,,,,,,,,,,,,,,,
"LiftingSafety","LS Electric 5000","LS Electric","5000 kg","1.2 m/min","2.2 kW","d8, ce",,"known-data",0.9,"liftingsafety-ls-electric-5000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","85 kg",,"[""400V 3Ph""]",,"IP54","70 dB(A)",,,,,,,,,,,,,,,,,,,,,
"LiftingSafety","LS Compact 125","LS Compact","125 kg","16 m/min","0.18 kW","d8, ce",,"known-data",0.9,"liftingsafety-ls-compact-125","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"30%","10 kg",,"[""230V 1Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"LiftingSafety","LS Compact 250","LS Compact","250 kg","8 m/min","0.25 kW","d8, ce",,"known-data",0.9,"liftingsafety-ls-compact-250","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"30%","12 kg",,"[""230V 1Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"LiftingSafety","LS Compact 500","LS Compact","500 kg","4 m/min","0.37 kW","d8, ce",,"known-data",0.9,"liftingsafety-ls-compact-500","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"30%","16 kg",,"[""230V 1Ph"",""400V 3Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"LiftingSafety","LS HD 5000","LS HD","5000 kg","2 m/min","2.2 kW","d8+, ce",,"known-data",0.9,"liftingsafety-ls-hd-5000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"50%","92 kg",,"[""400V 3Ph""]",,"IP55","68 dB(A)",,,,,,,,,,,,,,,,,,,,,
"LiftingSafety","LS HD 10000","LS HD","10000 kg","1 m/min","3.0 kW","d8+, ce",,"known-data",0.9,"liftingsafety-ls-hd-10000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"50%","155 kg",,"[""400V 3Ph""]",,"IP55","70 dB(A)",,,,,,,,,,,,,,,,,,,,,
"Tiger Lifting","ROV 250","ROV","250 kg","12 m/min","0.55 kW","d8+, bgv-c1",,"known-data",0.9,"tiger-rov-250","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",true,,"60%","22 kg",,"[""400V 3Ph""]",,"IP55","58 dB(A)",,,,,,,,true,,,,,,,,,,,,,
"Tiger Lifting","ROV 500","ROV","500 kg","8 m/min","0.75 kW","d8+, bgv-c1",,"known-data",0.9,"tiger-rov-500","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",true,,"60%","28 kg",,"[""400V 3Ph""]",,"IP55","60 dB(A)",,,,,,,,true,,,,,,,,,,,,,
"Tiger Lifting","ROV 1000","ROV","1000 kg","4 m/min","1.1 kW","d8+, bgv-c1",,"known-data",0.9,"tiger-rov-1000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",true,,"60%","38 kg",,"[""400V 3Ph""]",,"IP55","62 dB(A)",,,,,,,,true,,,,,,,,,,,,,
"Tiger Lifting","ROV 2000","ROV","2000 kg","2 m/min","1.5 kW","d8+, bgv-c1",,"known-data",0.9,"tiger-rov-2000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",true,,"60%","52 kg",,"[""400V 3Ph""]",,"IP55","64 dB(A)",,,,,,,,true,,,,,,,,,,,,,
"Tiger Lifting","ROV 3000","ROV","3000 kg","1.3 m/min","2.2 kW","d8+, bgv-c1",,"known-data",0.9,"tiger-rov-3000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"60%","68 kg",,"[""400V 3Ph""]",,"IP55","66 dB(A)",,,,,,,,true,,,,,,,,,,,,,
"Tiger Lifting","ROV 5000","ROV","5000 kg","0.8 m/min","3.0 kW","d8+, bgv-c1",,"known-data",0.9,"tiger-rov-5000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"60%","95 kg",,"[""400V 3Ph""]",,"IP55","68 dB(A)",,,,,,,,true,,,,,,,,,,,,,
"Tiger Lifting","BCH 500","BCH","500 kg","6 m/min","0.55 kW","d8",,"known-data",0.9,"tiger-bch-500","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","25 kg",,"[""400V 3Ph"",""230V 1Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"Tiger Lifting","BCH 1000","BCH","1000 kg","3 m/min","0.55 kW","d8",,"known-data",0.9,"tiger-bch-1000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","32 kg",,"[""400V 3Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"Tiger Lifting","BCH 2000","BCH","2000 kg","1.5 m/min","0.75 kW","d8",,"known-data",0.9,"tiger-bch-2000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","45 kg",,"[""400V 3Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"Tiger Lifting","BCH 3000","BCH","3000 kg","1 m/min","1.1 kW","d8",,"known-data",0.9,"tiger-bch-3000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","58 kg",,"[""400V 3Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"Tiger Lifting","BCH 5000","BCH","5000 kg","0.6 m/min","1.5 kW","d8",,"known-data",0.9,"tiger-bch-5000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","78 kg",,"[""400V 3Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"Tiger Lifting","BCH 10000","BCH","10000 kg","0.3 m/min","2.2 kW","d8",,"known-data",0.9,"tiger-bch-10000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","125 kg",,"[""400V 3Ph""]",,"IP54",,,,,,,,,,,,,,,,,,,,,,
"Tiger Lifting","PRO 250 VS","Professional","250 kg","0-16 m/min","0.75 kW","d8+, bgv-c1",,"known-data",0.9,"tiger-pro-250-vs","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",true,,"60%","24 kg",,"[""400V 3Ph""]",,"IP55","56 dB(A)",,,,,,,,true,,,,,,,,,,,,,
"Tiger Lifting","PRO 500 VS","Professional","500 kg","0-8 m/min","1.1 kW","d8+, bgv-c1",,"known-data",0.9,"tiger-pro-500-vs","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",true,,"60%","32 kg",,"[""400V 3Ph""]",,"IP55","58 dB(A)",,,,,,,,true,,,,,,,,,,,,,
"Tiger Lifting","PRO 1000 VS","Professional","1000 kg","0-4 m/min","1.5 kW","d8+, bgv-c1",,"known-data",0.9,"tiger-pro-1000-vs","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",true,,"60%","45 kg",,"[""400V 3Ph""]",,"IP55","60 dB(A)",,,,,,,,true,,,,,,,,,,,,,
"Tiger Lifting","SS 500","Subsea","500 kg","6 m/min","0.75 kW","d8+, atex",,"known-data",0.9,"tiger-ss-500","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","35 kg",,"[""400V 3Ph""]",,"IP66",,,,,,,,,,,,,,,,,,,,,,
"Tiger Lifting","SS 1000","Subsea","1000 kg","3 m/min","1.1 kW","d8+, atex",,"known-data",0.9,"tiger-ss-1000","2026-01-17T18:12:31.353Z",,,"","","2026-01-17T18:12:31.353Z","2026-01-17T18:12:31.353Z",,,"40%","48 kg",,"[""400V 3Ph""]",,"IP66",,,,,,,,,,,,,,,,,,,,,,
